題號,分類狀態,待審,原答案,採計答案或來源衝突,最終採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑轉存PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-108-Q34,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q34.png,be792e703212faf3faa328c17089a3b9db30e94d4f2251c5cf64fc14e10b80fb,L1402,22.2 / Key Features of Natural Selection,"L1477,L0898",23.4 / Why Natural Selection Cannot Fashion Perfect Organisms ; 14.3 / Nature and Nurture: The Environmental Impact on Phenotype,22.2 / Key Features of Natural Selection：自然選擇需要可遺傳變異與差別繁殖成功。,23.4 / Why Natural Selection Cannot Fashion Perfect Organisms：選擇受歷史與權衡限制，無法預先設計完美個體；14.3 / Nature and Nurture: The Environmental Impact on Phenotype：環境造成的表現型變化未必可遺傳。,原表A。單純後天取得而不可遺傳的變化不能當作跨代選擇累積的基礎。選擇不是為了未來需要而主動創造變異，突變可產生新變異，適應也受既有構造與權衡限制。,"282,283,476,477,478,501,502","331,332,525,526,527,550,551",Codex /root,TCU-108-R2-Q34
TCU-108-Q35,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q35.png,12caeb7906ba05634f9c96ba546a7bf9a9b2d68f5a47decc98496b2d8de57e2e,L3604,54.1 / Positive Interactions,"L3601,L2021,L1847,L1764",54.1 / Exploitation ; 31.5 / Fungi as Mutualists ; 28.6 / Symbiotic Protists ; 27.5 / Ecological Interactions,54.1 / Positive Interactions：比較互利共生與其他種間關係，以正面互動為主軸。,54.1 / Exploitation：啄食宿主傷口可能具剝削性；31.5 / Fungi as Mutualists：地衣提供真菌互利例；28.6 / Symbiotic Protists：珊瑚與光合共生者提供原生生物例。；27.5 / Ecological Interactions：燈籠魚與發光細菌互利正是本地p587的具名例。,原表B。原題僅寫水牛buffalo，未指定物種。啄牛鳥可吃蜱也可啄血，關係依宿主與環境而變；Weeks研究家牛且明示不可直接外推原生宿主，因此不能據此斷言題中水牛與啄牛鳥絕無互利。本地p1221牛背鷺又非啄牛鳥。珊瑚與藻、地衣菌藻、p587燈籠魚與發光細菌均有教材互利例。保留官方B與宿主、用語差異，分類明確為種間互動。,"587,614,615,667,668,1217,1218,1220,1221","636,663,664,716,717,1266,1267,1269,1270",Codex /root,TCU-108-R2-Q35
TCU-108-Q36,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q36.png,c8722d33ddeff37a1fc2b6fa62fe964f43b30f52826ee2172c4fcf880aa48d17,L2463,37.3 / Bacteria and Plant Nutrition,"L1741,L1764",27.3 / Metabolic Cooperation ; 27.5 / Ecological Interactions,37.3 / Bacteria and Plant Nutrition：植物與固氮細菌的營養共生，且本地p817直接說明滿江紅作水田肥源。,27.3 / Metabolic Cooperation：藍綠菌异形細胞與營養細胞分工提供固氮機制；27.5 / Ecological Interactions：植物與微生物互利屬生態互動。,原表A，cyanobacteria。異形細胞提供保護nitrogenase的低氧環境；满江紅共生藍綠菌固定氮，植物提供碳源。本地p817直接列Azolla，文獻Anabaena／Nostoc azollae命名差異留存，不把所有固氮菌都說成必有異形細胞。,"582,583,587,814,815,816,817","631,632,636,863,864,865,866",Codex /root,TCU-108-R2-Q36
TCU-108-Q37,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q37.png,3951f8567604a7ff7ba93deda043cf2b845204c945eba238fb7a44683e4f8830,L2944,44.1 / Osmoregulatory Challenges and Mechanisms,L0898,14.3 / Nature and Nurture: The Environmental Impact on Phenotype,44.1 / Osmoregulatory Challenges and Mechanisms：廣鹽與狹鹽動物面對不同滲透壓的調節挑戰。,14.3 / Nature and Nurture: The Environmental Impact on Phenotype：個體對環境鹽度的適應性變化涉及表現型可塑性。,原表A。臺灣魚類資料庫列Scartelaos gigas為河口紅樹林半淡鹹水與海水魚，可支持相較題列淡水魚的廣鹽環境調節。這是棲地證據，不是耐鹽極限的實驗值；本地一般鮭魚洄游例不可直接當成櫻花鉤吻鮭亦洄游海洋。,"282,283,978,979,980","331,332,1027,1028,1029",Codex /root,TCU-108-R2-Q37
TCU-108-Q38,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q38.png,393502bf58e5945377ced1f180225406ed3145df1bba5d631e1128c788ec69c7,L1932,30.2 / Gymnosperm Diversity,L1659,26.3 / Cladistics,30.2 / Gymnosperm Diversity：銀杏唯一現生種及與蘇鐵的關係屬裸子植物多樣性。,26.3 / Cladistics：姊妹群用共同祖先與分支關係界定。,原表D。Ginkgo biloba是銀杏類唯一現生種；核及葉綠體研究支持與蘇鐵成姊妹群，但本地12e圖中仍示關係未定，2022研究粒線體結果也不同，差異明記。「活化石」非不再演化的正式分類；鱟為含銅血藍蛋白，原C所稱山椒魚仍是兩生類，不能因俗名有魚而歸魚類。,"559,560,561,641,642,643","608,609,610,690,691,692",Codex /root,TCU-108-R2-Q38
TCU-108-Q39,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,7,7,1,,questions/Q39.png,7e5c42ba5cec3287783c6e708de688d752d6e39fcfdb48d3d09b1c64d0270bc9,L1455,23.3 / Genetic Drift,,,23.3 / Genetic Drift：環境災害使族群骤減的抽樣損失是瓶頸型漂變。,無另列最小次條目；原題原族群劇減導致遺傳變異下降，瓶頸最合；不必另列一個目錄沒有的子目。,原表C。經族群瓶頸後倖存者只攜帶原基因庫的一部分，遺傳變異可下降；不是另建新族群的創始者情境。族群數恢復也不保證遺傳多樣性完全恢復。,"494,495,496","543,544,545",Codex /root,TCU-108-R2-Q39
TCU-108-Q40,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q40.png,9c216a8ac53dc4fdacabc467a58eabfad8c4a803668831c47578104da142d321,L1455,23.3 / Genetic Drift,L3755,56.2 / Extinction Risks in Small Populations,23.3 / Genetic Drift：比較漂變、創始者效應與瓶頸效應。,56.2 / Extinction Risks in Small Populations：有效族群及小族群滅絕風險是漂變強度的實際保育意義。,原表C。漂變為隨機抽樣，對小有效族群影響較大；有效族群數通常小於普查數。創始者是少數個體建立新族群，瓶頸是原族群骤減，不混換兩者。,"494,495,496,1266,1267,1268","543,544,545,1315,1316,1317",Codex /root,TCU-108-R2-Q40
TCU-108-Q41,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q41.png,f4acb5580b3ffc7fc6b603659261b4dbf7ebb2516e9e1e3201a4f52fba2d5a59,L1445,23.2 / The Hardy-Weinberg Equation,L0892,14.3 / Extending Mendelian Genetics for a Single Gene,23.2 / The Hardy-Weinberg Equation：由O及A型表現型頻率回推IA等位頻率，屬多等位HW方程。,14.3 / Extending Mendelian Genetics for a Single Gene：A、B共顯性及O隱性解釋表現型與基因型合併。,原表A，IA頻率0.30。O型r²=0.16得r=0.4；A型p²+2pr=0.33得p=0.3，IB頻率q=0.3。原題已給AB=0.18，以2pq=0.18驗算一致；不是求AB型頻率。B表現型0.33，四型合為1，依題設HW條件推算。,"279,280,490,491,492,493","328,329,539,540,541,542",Codex /root,TCU-108-R2-Q41
TCU-108-Q42,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q42.png,8d52ec72db593de89b7a48ba2c3c2323d3c745cb9b6101df575c43eac73b5df8,L1827,28.4 / Red Algae,L0242,5.2 / Polysaccharides,28.4 / Red Algae：紅藻藻膠的功能是紅藻形態與應用的專屬內容。,5.2 / Polysaccharides：結構性與儲存性多醣對照決定纖維素的類比。,原表B。Agarose與carrageenan是紅藻結構基質多醣；agarose是agar的主要膠化部分，功能類似植物纖維素；不是蛋白質collagen、儲存澱粉或雙醣sucrose。它們化學結構不同於纖維素，不把基質與微纖維混同。,"70,71,72,609,610","119,120,121,658,659",Codex /root,TCU-108-R2-Q42
TCU-108-Q43,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q43.png,907a64c97343e53d674f4dc56711eb171ec7c08ecc825b3506c80abbc133dc09,L1293,"21.1 / The Human Genome Project fostered development of faster, less expensive sequencing techniques",L1232,20.1 / DNA Sequencing,"21.1 / The Human Genome Project fostered development of faster, less expensive sequencing techniques：本地p444於21.1直接定義環境混合DNA定序為metagenomics，目錄此概念無更細子目。",20.1 / DNA Sequencing：定序技術是取得環境DNA資訊的方法。,原表D。總體基因體學從整個微生物群或環境樣本取得混合DNA資訊，無須先個別培養。若僅用特定條碼基因擴增辨識物種，更精確可稱metabarcoding；題目以廣義環境DNA研究選metagenomics，保留方法粒度限制。,"416,417,418,443,444","465,466,467,492,493",Codex /root,TCU-108-R2-Q43
TCU-108-Q44,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q44.png,03a2524283938ba0e21f817e36c77b23d7fe8d5fd87dbe594f9927f26705cf44,L2024,31.5 / Practical Uses of Fungi,L1966,31.1 / Nutrition and Ecology,31.5 / Practical Uses of Fungi：辨認中藥材中的真菌來源，屬真菌的實際用途。,31.1 / Nutrition and Ecology：真菌寄生或分解營養型有助辨識蟲草與茯苓。,原表C：冬蟲夏草與茯苓。冬蟲夏草藥材為真菌子座及昆蟲體複合物，不能把整個蟲體都稱真菌；茯苓為真菌菌核。A牛樟芝與B靈芝也是菌，但其搭配的川芎、麥門冬為植物；D何首烏與當歸均為植物。藥典補足中文藥材基原，未對療效作主張。,"655,667,668,669,670","704,716,717,718,719",Codex /root,TCU-108-R2-Q44
TCU-108-Q45,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q45.png,de5e87a7f6fdbe1a5b67815e116432b0261548b8abd41c853b47ed3283b5e555,L1969,31.1 / Body Structure,L1709,27.1 / Cell-Surface Structures,31.1 / Body Structure：真菌細胞壁的幾丁質等成分屬菌體結構。,27.1 / Cell-Surface Structures：革蘭氏陰性菌外膜的LPS可排除錯誤歸屬。,原表D。LPS是典型革蘭氏陰性細菌外膜成分；真菌壁以chitin、glucans及mannoproteins等為主，組成隨類群與階段不同，不把LPS列為一般真菌細胞壁成分。,"574,575,655,656,657","623,624,704,705,706",Codex /root,TCU-108-R2-Q45
TCU-108-Q46,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,8,8,1,,questions/Q46.png,f9693013129e9a51c75afdab7542808e9796277b1a6dfe969d80cadbfad343ce,L1794,28.1 / Endosymbiosis in Eukaryotic Evolution,L1814,28.3 / Stramenopiles,28.1 / Endosymbiosis in Eukaryotic Evolution：矽藻複雜質體的多層膜反映次級內共生。,28.3 / Stramenopiles：矽藻在stramenopiles中的實例提供分類定位。,原表B。矽藻質體有多層包膜，符合紅藻次級內共生史；不是所有原生生物都無葉綠素、不能運動或有真正根莖葉維管束。Protista是歷史方便稱呼而非單系群。,"594,595,596,602,603","643,644,645,651,652",Codex /root,TCU-108-R2-Q46
TCU-108-Q47,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,9,9,1,,questions/Q47.png,a2b41bca2be43241c534c3be7ee82484d1a6f82d87cc19a59ddb2fb13dd2d218,L1715,27.1 / Internal Organization and DNA,"L1728,L1754",27.2 / Genetic Recombination ; 27.4 / Archaea,27.1 / Internal Organization and DNA：細菌DNA與核區組織的傳統差異為題目主軸。,27.2 / Genetic Recombination：菌毛接合與噬菌體轉導需區別；27.4 / Archaea：古菌翻譯起始及染色體結構用於排除選项。,原表D沿用細菌DNA不與histone包裝的傳統概括。2023研究已在Bdellovibrio及Leptospira找到histone，因此不能作全細菌絕對命題；其結合模式也不等同真核核小體。接合不是轉導，古菌起始胺基酸是Met非細菌常見fMet，原核細胞沒有核膜。,"330,331,577,579,580,583,585,586","379,380,626,628,629,632,634,635",Codex /root,TCU-108-R2-Q47
TCU-108-Q48,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,9,9,1,,questions/Q48.png,81fc45fc612551e17cfef89f41459abddaec73cd279a1548a56c9deae55cfc85,L1995,31.4 / Fungi have radiated into a diverse set of lineages,"L1966,L3656",31.1 / Nutrition and Ecology ; 54.5 / Effects on Community Structure,31.4 / Fungi have radiated into a diverse set of lineages：壺菌的游動孢子與生物學特徵屬真菌支系；本地目錄31.4沒有獨立Chytrids子目。,31.1 / Nutrition and Ecology：真菌寄生營養支援病原特徵；54.5 / Effects on Community Structure：兩生類病原對群集結構的影響保留為次條目。,原表D。蛙壺菌Batrachochytrium dendrobatidis在原始研究已離體純培養並接種蛙，故不能稱無法培養。壺菌常有具鞭毛游走孢子；一般壺菌腐生／寄生範圍不能全套在單一蛙壺菌，兩生類下降也不能歸因唯一環境因子。原題為Batrachochytrium spp.，本輪培養與趨化研究明確限Bd：2008研究測得糖、蛋白與胺基酸的正趨化，不能擴大成所有屬內物種皆在植物體內寄生。,"655,660,661,662,1234,1235","704,709,710,711,1283,1284",Codex /root,TCU-108-R2-Q48
TCU-108-Q49,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,9,9,1,,questions/Q49.png,2b30ddf7fb5b91f34d4dc09a7108257f6244d6ace815cf962787485ecdb76676,L1972,31.1 / Specialized Hyphae in Mycorrhizal Fungi,"L2005,L2466",31.4 / Mucoromycetes ; 37.3 / Fungi and Plant Nutrition,31.1 / Specialized Hyphae in Mycorrhizal Fungi：內生菌根菌絲穿壁但不穿破宿主質膜，直接屬特化菌絲。,31.4 / Mucoromycetes：本地將glomeromycetes置於Mucoromycota，保留題目Glomeromycota分類差異；37.3 / Fungi and Plant Nutrition：菌根介面及植物營養交換有明確正文支援。,原表D。叢枝結構為顯微尺度，不能單憑肉眼根部觀察確診；菌絲穿細胞壁後仍被內陷宿主膜隔開，不自由位於細胞質。本地p663採Mucoromycota內glomeromycetes，題目採Glomeromycota；名稱層級差異明記，不擅改原題。,"656,657,663,817,818","705,706,712,866,867",Codex /root,TCU-108-R2-Q49
TCU-108-Q50,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,9,9,1,,questions/Q50.png,69fcc51f494c32c5dfa003a938c8b89acc3731b8c5f07f1633cf2747993cae14,L1979,31.2 / Sexual Reproduction,"L1982,L1359",31.2 / Asexual Reproduction ; 21.6 / Comparing Genomes,31.2 / Sexual Reproduction：酵母的單／二倍體與減數、有性生活史決定錯誤敘述。,31.2 / Asexual Reproduction：出芽與無性增殖用於比較；21.6 / Comparing Genomes：跨物種基因組相似及人類基因互補屬比較基因組。,原表A。S. cerevisiae可有單倍體與二倍體，並非只單倍體。1996首個完成真核基因組；2018研究1011株含918新定序及93既有，時間早於本試題。部分人類同源基因能互補酵母，不是全部；发酵與呼吸依環境條件而變。,"449,459,460,461,657,658,659","498,508,509,510,706,707,708",Codex /root,TCU-108-R2-Q50
