題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-108-Q33,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q33.png,c0ef1b9c6ae6442be3bf890f3ca38ff0e861469e0b0be3343a754a8e6ae41afd,L1000,16.1 / Building a Structural Model of DNA,,,16.1 / Building a Structural Model of DNA：Franklin繞射證據與DNA雙股結構推論在結構證據最小條目。,無另列最小次條目；重開Q33，B為可推得的尺寸；結晶與纖維繞射文字差異保留，主要歸DNA結構證據。,採B。繞射圖樣提供螺旋尺寸等結構線索，可推知直徑；不能由該照片直接讀出複製速率或核苷酸序列。原題「結晶DNA」保留；課本歷史例為DNA纖維繞射，照片不是普通放大影像，也不是單靠照片直接指定所有次單位鍵角。,"317,318,319","366,367,368",Codex /root,ISU-108-R2-Q33
ISU-108-Q34,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q34.png,bc9c461c26d12615336e2ec392f8ee901c9720ac73dd65e32e9fc5f4ab97c999,L1022,16.3 / A chromosome consists of a DNA molecule packed together with proteins,,,16.3 / A chromosome consists of a DNA molecule packed together with proteins：DNA與組蛋白的帶電相互作用屬染色體DNA包裝的Concept16.3；目錄未另列histones小目。,無另列最小次條目；16.3為真實最小條目，330正文正負電荷支持A；不用題詞自行創建histone目錄。,採A。組蛋白富含帶正電的胺基酸區域，與DNA帶負電的磷酸骨架相吸；不能顛倒電荷或以強疏水性解釋此結合。330頁正文直接支持。,"330,331","379,380",Codex /root,ISU-108-R2-Q34
ISU-108-Q35,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,4,21,4,1,24,,questions/Q35.png,02dcd8ef411ef49d8c5f23203285785a0b3e501be9268c98b294395e69c9738f,L1155,18.4 / Pattern Formation: Setting Up the Body Plan,,,18.4 / Pattern Formation: Setting Up the Body Plan：bicoid母源產物的前後濃度梯度提供胚胎位置資訊，落在果蠅體式建立與決定。,無另列最小次條目；bicoid提供前後位置梯度，A比泛稱分節精確；採果蠅體式建立條目。,採A。母源bicoid mRNA定位前端，產物梯度決定前後軸的位置資訊；其後會影響分節基因，但題目所問最基本資訊不是以D取代前後軸。,"384,385,386,387,388","433,434,435,436,437",Codex /root,ISU-108-R2-Q35
ISU-108-Q36,FORMAL,False,D,D,108年度7/1審議會議釋疑維持原答案D,5,22,5,1,24,27,questions/Q36.png,10344acdd63067c6731b5a8163080a6f3faca696b7ee45aed868fbad5f4b6631,L1488,24.1 / The Biological Species Concept,L1498,24.2 / Allopatric (“Other Country”) Speciation,24.1 / The Biological Species Concept：生殖隔離直接定義阻止兩族群產生可存活且可育後代的生物障礙。,24.2 / Allopatric (“Other Country”) Speciation：異域物種形成的地理隔離是可促成分化的條件，不是兩生物物種持續區隔的必然生物障礙。,採D；同年釋疑PDF27維持D，引11e印刷505；12e對應507–509。依生物物種概念，生殖隔離較地理隔離符合題意。題文「保證」「一直」為簡化用語，不宣稱隔離機制在演化中永遠不能改變。,"507,508,509,510,511,512","556,557,558,559,560,561",Codex /root,ISU-108-R2-Q36
ISU-108-Q37,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q37.png,a1322837cdddaf43533a68c5d5cb3d18dd64a681e6d93b5cf9141cfac89a4797,L1712,27.1 / Motility,L1606,25.6 / Evolutionary Novelties,27.1 / Motility：本題鞭毛蛋白改作新用途的具體例子直接出現在細菌運動性小節577頁。,25.6 / Evolutionary Novelties：演化新穎構造小節提供exaptation將既有構造徵用為新功能的上位概念。,採C。原有蛋白結構被徵用、修飾而具新用途為exaptation；不是退化失去功能的痕跡器官。原選項D「同質的器官(homogeneous organ)」原樣保留，不能默改成homologous；現代分泌系統不必被簡化成已證明的唯一直接祖先。,"547,548,576,577","596,597,625,626",Codex /root,ISU-108-R2-Q37
ISU-108-Q38,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q38.png,a19527e35cdc27dc8809895fb1a9b1c8996b4a6d228e3d158fcf75dd84c95374,L1731,27.3 / Diverse nutritional and metabolic adaptations have evolved in prokaryotes,L1751,27.4 / Bacteria,27.3 / Diverse nutritional and metabolic adaptations have evolved in prokaryotes：原核生物營養多樣性按能量與碳來源分類，概念27.3引言就是此處最小目錄。,27.4 / Bacteria：細菌多樣性中的藍綠菌例子補足其氧合光合作用與自營營養。,採D。藍綠菌以光為能量來源並由CO2取得碳，為光自營生物。能量來源與碳來源分別判斷，不能因「細菌」一詞就當化學異營。,"581,582,583,584","630,631,632,633",Codex /root,ISU-108-R2-Q38
ISU-108-Q39,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q39.png,1ff1f78db4e05753d7c4a93ca6e94229f07efe301f6f39cad853aae24abebe25,L2714,41.3 / Digestion in the Small Intestine,,,41.3 / Digestion in the Small Intestine：小腸的消化階段包括蛋白酶原活化與蛋白質分解，題設腸激酶缺乏影響此鏈。,無另列最小次條目；NLM直接定義為切除胰蛋白酶原N端的蛋白水解酶，B；小腸消化條目與具名補充一致。,採B。enterokinase又稱enteropeptidase，先把trypsinogen切成trypsin，再啟動其他蛋白酶原；名稱帶kinase不表示它是磷酸轉移激酶。Campbell909頁支援蛋白酶活化鏈，NLM MeSH補足具名酵素與切割功能。,"908,909","957,958",Codex /root,ISU-108-R2-Q39
ISU-108-Q40,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q40.png,71f88f8385718bfa519ef65cc270bd27a1008abc465378954767fc37d47e8b42,L2381,36.3 / Bulk Flow Transport via the Xylem,,,36.3 / Bulk Flow Transport via the Xylem：木質部汁液整體流動小節直接區別根壓與蒸散拉力，並說明泌溢。,無另列最小次條目；793–794區分根壓排液與大氣凝露，A；真實最小目錄Bulk Flow Transport via the Xylem包含兩種水運輸動力。,採A。根壓將木質部液體推至葉緣排出造成guttation；大氣水凝結為露水，並非植物內部排液；韌皮部壓流與蒸散拉力也不是本題主要原因。,"792,793,794","841,842,843",Codex /root,ISU-108-R2-Q40
ISU-108-Q41,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q41.png,9a945e8c681131ceb68865ae2758eebc2df6a577339e92015a6b504137be3af7,L2557,39.2 / A Survey of Plant Hormones,,,39.2 / A Survey of Plant Hormones：847–848頁在植物激素總覽之auxin正文下直接解釋暗側累積與伸長差異，是實際最小目錄。,無另列最小次條目；847全頁確認Auxin在Survey標題之後，採L2557；暗側生長素多支持C，正文auxin非獨立目錄。,採C。莖的背光側auxin較多而伸長較快，造成向光彎曲。生長素極性運輸不由重力方向決定，原題暗面更快破壞與吉貝素主導也不符合。Auxin是正文子題，實際目錄最小為A Survey of Plant Hormones，不虛構目錄節點。,"845,846,847,848,849","894,895,896,897,898",Codex /root,ISU-108-R2-Q41
ISU-108-Q42,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q42.png,a719f4c1e12a11fed16f113f08ce392719d8abc95950b734fe652f82fcbbc446,L2623,40.1 / Hierarchical Organization of Body Plans,,,40.1 / Hierarchical Organization of Body Plans：動物組織階層組織的小節內图40.5比較結締組織與纖維，直接列肌腱。,無另列最小次條目；878圖逐項比較膠原與彈性纖維，肌腱膠原B直接成立；最小目錄仍Hierarchical Organization of Body Plans。,採B。878頁說膠原纖維提供strength與flexibility，肌腱為富含膠原的纖維性結締組織。flexibility是可彎曲且有抗張強度，不等於elastin的彈性回彈。Connective Tissue是圖內標題，不是另立目錄最小條目。,"876,877,878","925,926,927",Codex /root,ISU-108-R2-Q42
ISU-108-Q43,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q43.png,b17cd4b9cae2e90b1a2632c7d623fdbaafb577ef18c79bd038250120e14772ec,L1709,27.1 / Cell-Surface Structures,L1774,27.6 / Pathogenic Bacteria,27.1 / Cell-Surface Structures：革蘭氏陰性菌外膜及LPS的結構定位，直接歸細胞表面構造。,27.6 / Pathogenic Bacteria：有害細菌小節解釋LPS內毒素與致病效應，補充題設endotoxin名詞。,採D。題目細胞壁採含外膜的廣義菌體包被用法；內毒素為外膜LPS的毒性部分，不能誤認位於鞭毛、性線毛、內孢子或直接把它當肽聚糖。,"574,575,588","623,624,637",Codex /root,ISU-108-R2-Q43
ISU-108-Q44,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,5,22,5,1,24,,questions/Q44.png,3513996d6c773bae066ac5bdcdc320b64f44e7477ef5e5f431e5980960ac402e,L3231,48.4 / Neurotransmitters,,,48.4 / Neurotransmitters：神經傳遞物質條目中的生物胺正文直接指出serotonin的tryptophan前驅物；目錄未另列Biogenic Amines。,無另列最小次條目；1081與出版商Serotonin Biosynthesis段一致為C；真實最小目錄Neurotransmitters，Biogenic Amines僅為正文子題。,採C。Campbell1081頁直接說血清素由色胺酸合成；酪胺酸對應其他生物胺路徑，不能混用。出版商原教材樣章的Serotonin Biosynthesis段另支持，實讀範圍不含整本書。,"1080,1081,1082","1129,1130,1131",Codex /root,ISU-108-R2-Q44
ISU-108-Q45,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,6,23,6,1,24,,questions/Q45.png,dca290431f8be3b23bd4962afb107fe906819d851e4aeab760a5f4852d0f81b2,L2717,41.3 / Absorption in the Small Intestine,"L2711,L2685",41.3 / Digestion in the Stomach ; 41.1 / Essential Nutrients,41.3 / Absorption in the Small Intestine：胃切除造成B12吸收障礙，核心是小腸營養吸收的前提條件。,41.3 / Digestion in the Stomach：胃的壁細胞提供內在因子與酸性環境，說明切胃如何間接影響迴腸吸收；41.1 / Essential Nutrients：必需營養素條目中的維生素段辨認B12為必要微量有機養分，非膽鹽或三大營養素。,採A。胃酸協助游離食物中B12，壁細胞內在因子與B12複合後在末端迴腸吸收；切胃減少此支持，並非B12主要在胃被吸收。Campbell提供胃與小腸一般架構，內在因子細節由NIH ODS補足；不表示其他營養素完全不受手術影響。,"900,907,909,910","949,956,958,959",Codex /root,ISU-108-R2-Q45
ISU-108-Q46,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,6,23,6,1,24,,questions/Q46.png,077df0e19acfa3e1cdea307b8b1d24891ceed380e11952b585e6e08693f966ce,L3104,46.4 / Hormonal Control of Female Reproductive Cycles,,,46.4 / Hormonal Control of Female Reproductive Cycles：濾泡成熟、動情素上升與排卵前時序直接屬女性生殖週期。,無另列最小次條目；題設10–14天典型濾泡成熟動情素上升，A；保留週期變動而不從日期作普遍定律。,採A。以題設典型約28天週期且月經首日為第1天，10–14天為濾泡晚期至排卵前，濾泡成熟並分泌動情素；大量黃體素與內膜分泌相屬排卵後黃體期。實際週期會變動，日期並非所有人的固定生理時間。,"1032,1033,1034","1081,1082,1083",Codex /root,ISU-108-R2-Q46
ISU-108-Q47,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,6,23,6,1,24,,questions/Q47.png,4aad68b528a5313154b1048a621aa624c65f988f35dc731522852222926a8b46,L0942,15.2 / The Chromosomal Basis of Sex,L3042,45.3 / Sex Hormones,15.2 / The Chromosomal Basis of Sex：選項以Y染色體缺乏判定典型女性性別發育，主要為Y/SRY的染色體性別基礎。,45.3 / Sex Hormones：性激素小節支援雄激素在男性生殖構造分化的角色，說明基因與內分泌層次。,採C。典型XX且無Y/SRY時不啟動睪丸分化訊號，與題設女性發育相符；睪固酮與AMH屬睪丸路徑，黃體素不是此處起始因素。原題第7–8週及「兩性特徵」保留；較精確應稱尚未分化的共同原基。缺Y不是所有性別發育差異的充分解釋，卵巢發育也有主動基因路徑。,"298,299,1014,1030,1031","347,348,1063,1079,1080",Codex /root,ISU-108-R2-Q47
ISU-108-Q48,FORMAL,False,D,D,108年度7/1審議會議釋疑維持原答案D,6,23,6,1,24,27,questions/Q48.png,90d9aab21027ee93626622383d78fdf076e3857af2c3af0b16756b00e28c4d18,L3114,"46.5 / Conception, Embryonic Development, and Birth",L2998,45.1 / Intercellular Information Flow,"46.5 / Conception, Embryonic Development, and Birth：妊娠與分娩小節直接討論前列腺素促進子宮收縮的正回饋。",45.1 / Intercellular Information Flow：局部訊息的旁分泌與自分泌解釋前列腺素與遠距內分泌催產素的差別。,採D；同年釋疑PDF27以Vander15e17章634頁說明近足月子宮分泌PGE2、PGF2α。Campbell1036頁圖46.18標示胎盤製造前列腺素、催產素來自胎兒及母體後葉，來源層次不完全相同，均如實保留；不能將C催產素當作子宮本身分泌的正確答案。,"1000,1001,1035,1036,1037","1049,1050,1084,1085,1086",Codex /root,ISU-108-R2-Q48
ISU-108-Q49,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,6,23,6,1,24,,questions/Q49.png,08b8f994926c78f9686f9895058b078e669e2fa8ed63226ec771d5a2de383d28,L3255,49.2 / Arousal and Sleep,,,49.2 / Arousal and Sleep：題目以夢境與睡眠階段特徵辨識REM，最小目錄為喚醒與睡眠。,無另列最小次條目；重開Q49並核對NIH兩來源；官方B與科學措辭衝突分開保存，睡眠分類已解決，不把題文矛盾偽裝成無差異。,官方採B。REM常見鮮明夢境且骨骼肌張力受到抑制；但題文「最難被叫醒」通常對應NREM深睡N3，與其餘線索混合。NIH來源分別支持N3深睡難喚醒及REM肌張力下降，保留原題疑義，不宣稱整句科學上無誤，也不擅改官方採計。分類仍明確屬Arousal and Sleep。,"1094,1095","1143,1144",Codex /root,ISU-108-R2-Q49
ISU-108-Q50,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,6,23,6,1,24,,questions/Q50.png,ea415da9f8a2d6c781e6f4ffd7713e051696143ee7a7246eda936efcc7b24e24,L3261,49.2 / Emotions,L3293,49.4 / Memory and Learning,49.2 / Emotions：恐懼制約與杏仁核引起情緒性自主反應的具體實驗，直接出現在情緒小節。,49.4 / Memory and Learning：學習與記憶小節補足重複配對刺激形成持續記憶的機制背景。,採C。影像與不愉快刺激反覆配對後引起心跳、流汗等恐懼性自主反應，與杏仁核的情緒記憶關係最直接。不能因記憶一詞就改選一般記憶或運動相關核團；主條目保留情緒，學習記憶列同章最小次目。,"1095,1096,1100,1101","1144,1145,1149,1150",Codex /root,ISU-108-R2-Q50
